Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Narayan, MC",,,,"Narayan, Mary Curry",,,Structural Barriers to High-Quality Home Healthcare Nursing: What Home Health Nurses Want Medicare Policy Makers and Agency Administrators to Know,HOME HEALTH CARE MANAGEMENT AND PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084-8223,1552-6739,,,,2023 JUN 13,2023,,,,,,,,,,10.1177/10848223231180590,http://dx.doi.org/10.1177/10848223231180590,,JUN 2023,,,,,,,,,,,WOS:001005318200001,View Full Record in Web of Science
J,"Patel, R; Yang, YM; Lin, FC; Shumaker, A; Nash, P; Newmeyer, A; Baum, R; Hoffman, J",,,,"Patel, Rohan; Yang, Yumei; Lin, Feng-Chang; Shumaker, Amanda; Nash, Patricia; Newmeyer, Amy; Baum, Rebecca; Hoffman, Jeffrey",,,Descriptive Analysis of Documentation Time for the National Developmental-Behavioral Pediatric Physician Workforce Using a Commercial Electronic Health Record System,JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0196-206X,1536-7312,,,,JUN-JUL,2023,44,5,,,,,E365,E369,,10.1097/DBP.0000000000001185,http://dx.doi.org/10.1097/DBP.0000000000001185,,,,,,,,37099647,,,,,WOS:001003892000004,View Full Record in Web of Science
J,"Ludley, A; Ting, A; Malik, D; Sivanadarajah, N",,,,"Ludley, Alistair; Ting, Andrew; Malik, Dean; Sivanadarajah, Naveethan",,,Observational analysis of documentation burden and data duplication in trauma patient pathways at a major trauma centre,BMJ OPEN QUALITY,,,,,,,,,,,,,,,,,,"Ting, Andrew/0000-0001-6334-5899",,,,,,,,,,,,,,2399-6641,,,,APR,2023,12,2,,,,,,,e002084,10.1136/bmjoq-2022-002084,http://dx.doi.org/10.1136/bmjoq-2022-002084,,,,,,,,37185156,,,,,WOS:000984198000002,View Full Record in Web of Science
J,"Moy, AJ; Withall, J; Hobensack, M; Lee, RY; Levy, DR; Rossetti, SC; Rosenbloom, ST; Johnson, K; Cato, K",,,,"Moy, Amanda J.; Withall, Jennifer; Hobensack, Mollie; Lee, Rachel Yeji; Levy, Deborah R.; Rossetti, Sarah C.; Rosenbloom, S. Trent; Johnson, Kevin; Cato, Kenrick",,,Eliciting Insights From Chat Logs of the 25X5 Symposium to Reduce Documentation Burden: Novel Application of Topic Modeling,JOURNAL OF MEDICAL INTERNET RESEARCH,,,,,,,,,,,,,,,,,,"Lee, Rachel Y./0000-0002-0392-5848; Rossetti, Sarah/0000-0003-2632-8867; Levy, Deborah R/0000-0002-7324-3455; Johnson, Kevin/0000-0003-1016-9363; Rosenbloom, S. Trent/0000-0001-7455-2260; Cato, Kenrick/0000-0002-0704-3826; Withall, Jennifer/0000-0001-7984-6604",,,,,,,,,,,,,1438-8871,,,,,MAR 17,2023,25,,,,,,,,e45645,10.2196/45645,http://dx.doi.org/10.2196/45645,,,,,,,,37195741,,,,,WOS:001006013000002,View Full Record in Web of Science
J,"Moy, AJ; Hobensack, M; Marshall, K; Vawdrey, DK; Kim, EY; Cato, KD; Rossetti, SC",,,,"Moy, Amanda J.; Hobensack, Mollie; Marshall, Kyle; Vawdrey, David K.; Kim, Eugene Y.; Cato, Kenrick D.; Rossetti, Sarah C.",,,Understanding the perceived role of electronic health records and workflow fragmentation on clinician documentation burden in emergency departments,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,,,,,,,,,,,,,,,,"Rossetti, Sarah/0000-0003-2632-8867",,,,,,,,,,,,,1067-5027,1527-974X,,,,2023 MAR 11,2023,,,,,,,,,,10.1093/jamia/ocad038,http://dx.doi.org/10.1093/jamia/ocad038,,MAR 2023,,,,,,36905604,,,,,WOS:000946648100001,View Full Record in Web of Science
J,"Hesselink, G; Verhage, R; Hoiting, O; Verweij, E; Janssen, I; Westerhof, B; Ambaum, G; van der Horst, ICC; de Jong, P; Postma, N; van der Hoeven, JG; Zegers, M",,,,"Hesselink, Gijs; Verhage, Rutger; Hoiting, Oscar; Verweij, Eva; Janssen, Inge; Westerhof, Brigitte; Ambaum, Gilian; van der Horst, Iwan C. C.; de Jong, Paul; Postma, Nynke; van der Hoeven, Johannes G.; Zegers, Marieke",,,Time spent on documenting quality indicator data and associations between the perceived burden of documenting these data and joy in work among professionals in intensive care units in the Netherlands: a multicentre cross-sectional survey,BMJ OPEN,,,,,,,,,,,,,,,,,,"Hesselink, Gijs/0000-0003-2532-0724; van der Horst, Iwan C.C./0000-0003-3891-8522",,,,,,,,,,,,,2044-6055,,,,,MAR,2023,13,3,,,,,,,,10.1136/bmjopen-2022-062939,http://dx.doi.org/10.1136/bmjopen-2022-062939,,,,,,,,36878656,,,,,WOS:000960988700002,View Full Record in Web of Science
J,"Nguyen, OT; Hanna, K; Merlo, LJ; Parekh, A; Tabriz, AA; Hong, YR; Feldman, SS; Turner, K",,,,"Nguyen, Oliver T.; Hanna, Karim; Merlo, Lisa J.; Parekh, Arpan; Tabriz, Amir Alishahi; Hong, Young-Rock; Feldman, Sue S.; Turner, Kea",,,Early Performance of the Patients Over Paperwork Initiative among Family Medicine Physicians,SOUTHERN MEDICAL JOURNAL,,,,,,,,,,,,,,,,,"Hong, Young-Rock/AAK-8856-2020","Hong, Young-Rock/0000-0002-0366-5687",,,,,,,,,,,,,0038-4348,1541-8243,,,,MAR,2023,116,3,,,,,255,263,,10.14423/SMJ.0000000000001526,http://dx.doi.org/10.14423/SMJ.0000000000001526,,,,,,,,36863044,,,,,WOS:000935990300002,View Full Record in Web of Science
J,"Rajamani, G; Diethelm, M; Gunderson, MA; Talluri, VSM; Motz, P; Steinhaus, JM; LaFlamme, AE; Jarabek, B; Christiaansen, T; Blade, JT; Badlani, S; Melton, GB",,,,"Rajamani, Geetanjali; Diethelm, Molly; Gunderson, Melissa A.; Talluri, Venkata S. M.; Motz, Patricia; Steinhaus, Jennifer M.; LaFlamme, Anne E.; Jarabek, Bryan; Christiaansen, Tori; Blade, Jeffrey T.; Badlani, Sameer; Melton, Genevieve B.",,,Crowdsourcing Electronic Health Record Improvements at Scale across an Integrated Health Care Delivery System,APPLIED CLINICAL INFORMATICS,,,,,,,,,,,,,,,,,,"Rajamani, Geetanjali/0000-0002-1769-4307",,,,,,,,,,,,,1869-0327,,,,,MAR,2023,14,2,,,,,356,364,,10.1055/s-0043-1767684,http://dx.doi.org/10.1055/s-0043-1767684,,,,,,,,37164355,,,,,WOS:000985765400003,View Full Record in Web of Science
J,"McBride, S; Alexander, GL; Baernholdt, M; Vugrin, M; Epstein, B",,,,"McBride, Susan; Alexander, Gregory L.; Baernholdt, Marianne; Vugrin, Margaret; Epstein, Beth",,,Scoping review: Positive and negative impact of technology on clinicians,NURSING OUTLOOK,,,,,,,,,,,,,,,,,,"McBride, Susan/0000-0001-6844-1433; Baernholdt, Marianne/0000-0001-5499-7457",,,,,,,,,,,,,0029-6554,1528-3968,,,,MAR-APR,2023,71,2,,,,,,,101918,10.1016/j.outlook.2023.101918,http://dx.doi.org/10.1016/j.outlook.2023.101918,,FEB 2023,,,,,,36801609,,,,,WOS:000942379000001,View Full Record in Web of Science
J,"Hoelscher, SH; McBride, S; Bumpus, S",,,,"Hoelscher, Stephanie. H.; McBride, Susan; Bumpus, Serena",,,Preparing for the Future Establishing a National Consensus on Nursing Crisis Documentation,CIN-COMPUTERS INFORMATICS NURSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538-2931,1538-9774,,,,FEB,2023,41,2,,,,,86,93,,10.1097/CIN.0000000000000896,http://dx.doi.org/10.1097/CIN.0000000000000896,,,,,,,,36735571,,,,,WOS:000925830500005,View Full Record in Web of Science
